"fatal","lowdem","terr500k10yr","interaction4","defense","caprat","contig","pnbdem_low","peaceyears","spline1","spline2","spline3"
1,-9,0,0,0,0.951227903366089,1,0.16666667163372,14,-2409.34057617188,-2462.18383789062,-2210.03247070312
1,1,10,10,0,0.214140683412552,1,0.111111111938953,0,0,0,0
1,-9,10,-90,0,0.265734285116196,1,0.25,9,-696.475646972656,-654.129699707031,-587.140563964844
1,-9,10,-90,0,0.450704246759415,1,0.125,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
1,-9,0,0,0,0.325680941343307,1,0.0625,21,-6663.5244140625,-8301.8701171875,-7458.859375
1,-9,10,-90,0,0.506162703037262,1,0.125,0,0,0,0
1,-10,4,-40,0,0.329892635345459,1,0.166666701436043,0,0,0,0
1,-7,0,0,0,0.115198813378811,1,0,10,-948.756774902344,-897.297302246094,-805.405395507812
1,-7,5,-35,1,0.18918265402317,1,0.25,26,-10983.95703125,-15427.8974609375,-14155.8056640625
1,0,10,0,0,0.133517503738403,1,0.25,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-7,0,0,0,0.796163082122803,1,0,0,0,0,0
1,-9,9,-81,0,0.666350722312927,1,0.25,0,0,0,0
1,-7,10,-70,0,0.0954658910632133,1,0.200000002980232,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
1,-9,0,0,0,0.0742586627602577,0,0.5,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
